,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
zgorzelecki,dolnośląskie,"0,0","0,11","0,09","0,27","0,37","0,23","0,48","0,27","0,32","0,25","0,16","0,0","0,25","0,39","0,0","0,0","0,0","0,11","1,71","0,89","0,07","0,71","0,64","0,62","0,05","0,3","0,18","0,98","2,49","2,54","5,52","8,1","13,73","17,23","16,11","37,53","50,5","55,92","28,35","25,1","21,76","16,75","12,19","10,36","13,36","10,41","12,03","8,44","6,55","7,96","9,84","13,8","13,82","19,93","28,56","39,34","33,73","35,81","32,23"
zielonogórski,lubuskie,"0,0","0,03","0,38","0,43","0,46","0,22","0,0","0,0","0,0","0,0","0,03","0,16","0,0","0,0","0,0","0,19","0,0","0,0","0,0","0,05","0,97","1,59","1,03","0,62","0,38","0,24","0,03","0,22","0,49","1,38","2,7","5,21","11,15","24,85","27,58","37,76","43,89","51,42","30,55","26,87","28,5","31,09","18,29","17,36","14,83","14,18","12,88","12,97","16,29","21,01","31,84","43,54","59,56","67,82","73,87","74,65","45,89","40,38","23,6"
zwoleński,mazowieckie,"0,0","0,0","0,0","0,4","6,44","4,63","1,81","0,85","0,11","0,06","1,02","0,51","0,0","0,06","2,6","3,67","0,79","0,0","0,0","0,17","1,7","6,43","5,59","2,09","2,09","0,79","2,09","2,03","1,47","1,92","2,71","11,01","15,97","39,45","52,37","46,84","28,5","30,76","25,4","25,4","16,88","13,09","7,11","9,42","10,33","11,85","15,58","15,91","9,6","7,73","11,4","14,84","15,29","26,47","43,06","48,53","36,29","43,11","35,47"
ząbkowicki,dolnośląskie,"0,0","0,0","0,0","0,41","1,35","0,47","1,92","1,35","0,66","0,94","1,35","0,79","0,16","1,35","0,66","0,25","0,0","0,0","0,38","1,04","0,19","0,38","0,28","0,38","0,31","1,32","0,13","0,13","0,53","0,94","3,62","8,63","16,35","37,76","41,6","61,03","71,02","38,17","20,41","13,36","16,63","15,05","13,76","14,96","22,3","19,24","6,23","5,35","5,92","5,7","9,35","16,78","27,3","38,32","59,84","71,71","57,0","51,81","41,09"
złotoryjski,dolnośląskie,"0,0","0,0","0,0","0,19","0,75","1,22","2,35","0,42","0,0","0,0","0,66","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,24","0,09","0,33","1,97","1,5","0,47","0,19","0,14","0,0","0,52","1,83","4,41","7,79","13,61","21,35","26,56","52,23","59,97","39,93","33,98","25,48","15,48","11,87","8,02","9,85","11,03","7,27","5,49","7,74","4,74","5,25","6,8","7,46","10,37","14,97","30,36","53,54","48,1","52,04","42,83"
złotowski,wielkopolskie,"0,0","0,0","0,0","0,0","0,21","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,0","0,0","0,09","0,62","0,18","0,27","0,85","1,29","2,0","6,55","18,4","32,21","39,89","79,8","62,72","65,84","56,17","42,38","49,2","35,54","31,54","35,7","39,62","22,93","21,55","16,9","14,31","13,35","12,26","11,02","15,43","23,66","34,36","45,88","33,92","36,01","24,15"
Łomża,podlaskie,"0,0","0,0","0,0","0,0","0,0","2,21","1,82","0,32","0,29","0,13","0,0","0,0","0,0","0,0","0,88","4,64","6,91","3,76","0,91","0,39","0,26","0,61","1,52","1,75","0,78","0,48","0,03","0,52","1,72","2,27","4,9","11,09","22,73","41,92","70,97","69,68","52,43","55,96","26,98","30,22","28,08","28,66","26,62","23,72","24,22","25,39","23,08","23,21","33,04","48,18","60,05","79,3","90,4","93,99","68,96","47,76","26,23","24,19","16,79"
Łódź,łódzkie,"0,0","0,32","1,33","0,39","0,73","0,66","0,4","0,19","0,47","-0,1","0,33","0,99","1,37","1,63","1,45","1,41","0,46","0,39","0,3","0,52","0,48","0,86","1,07","1,37","1,69","0,99","0,91","1,5","3,02","3,22","6,62","19,46","31,32","56,32","82,8","73,37","63,21","55,21","40,98","39,83","37,48","36,77","34,09","36,24","27,08","18,71","15,87","14,49","14,37","16,92","23,12","31,88","40,51","58,55","77,67","88,66","73,13","68,68","48,35"
łaski,łódzkie,"0,0","0,0","0,0","0,0","0,94","0,33","0,17","0,0","0,0","0,08","0,29","0,7","0,7","0,12","0,41","0,37","0,21","0,0","0,0","0,0","0,29","2,08","1,02","1,35","1,22","1,31","0,78","0,57","0,37","2,04","3,43","8,22","16,48","35,65","48,12","47,06","51,84","32,3","20,93","18,32","19,09","18,15","13,24","11,97","11,16","7,89","9,69","7,52","7,11","7,24","7,73","11,73","18,81","31,97","42,72","49,06","47,26","40,11","30,79"
łańcucki,podkarpackie,"0,0","0,0","0,0","0,03","0,25","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03","0,15","0,0","0,0","0,4","0,66","0,03","0,96","2,44","1,36","0,45","1,06","4,71","3,53","1,03","1,87","4,63","6,39","14,68","39,2","56,58","67,41","84,35","99,09","68,79","32,41","18,89","22,18","14,96","12,49","12,37","13,2","10,25","8,89","9,74","8,94","15,69","25,1","39,33","50,43","68,77","82,06","86,07","66,78","52,63","31,59"
łobeski,zachodniopomorskie,"0,0","0,0","0,0","0,0","0,0","1,0","0,33","0,22","0,39","0,0","1,11","1,62","0,33","0,45","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,28","0,39","0,11","0,72","0,45","0,95","0,61","0,0","0,45","1,28","2,0","6,78","18,8","30,03","44,66","55,34","35,54","38,1","36,37","47,72","48,83","41,77","36,27","31,53","18,3","15,35","22,91","25,14","37,43","40,76","35,98","35,71","42,15","43,32","34,93","26,59","27,2","23,67"
łomżyński,podlaskie,"0,0","0,12","1,88","4,61","2,28","-2,09","-2,04","0,0","0,4","0,16","0,0","0,0","0,0","0,0","0,0","0,6","1,08","0,0","0,0","0,0","0,0","0,32","0,32","0,52","1,28","0,88","0,28","0,52","1,04","1,68","5,57","6,37","11,58","18,03","33,05","31,49","27,16","26,8","16,75","15,06","11,5","11,14","10,3","8,69","13,66","14,86","11,94","12,22","17,03","27,4","47,47","57,93","70,11","65,82","45,47","35,25","21,35","20,71","13,35"
łosicki,mazowieckie,"0,0","0,0","0,0","0,33","0,13","0,0","0,0","0,0","0,0","0,07","0,66","0,2","0,0","0,0","0,0","0,26","0,2","0,07","0,39","0,0","0,66","0,33","0,66","0,4","0,8","0,53","1,06","0,2","0,0","0,07","3,58","27,65","53,98","90,19","71,36","46,95","37,6","26,26","22,41","14,06","10,34","15,45","9,22","9,98","12,86","6,5","6,63","10,74","8,09","5,31","5,7","14,26","16,84","14,85","15,91","26,26","19,56","20,03","15,41"
łowicki,łódzkie,"0,0","0,39","1,28","0,29","0,15","0,23","0,29","0,47","0,68","0,36","0,15","0,08","0,16","0,6","0,31","0,18","0,5","0,29","0,76","2,22","1,3","2,53","3,87","11,86","14,29","3,79","0,5","1,33","2,59","4,83","6,67","14,58","24,38","39,33","36,74","46,51","57,1","28,22","20,23","17,46","15,52","15,94","13,07","17,47","19,49","14,19","11,47","10,24","7,97","10,19","18,81","34,62","42,99","53,38","66,4","65,59","47,87","42,8","26,56"
łukowski,lubelskie,"0,0","0,0","0,19","0,11","0,36","0,06","0,19","0,29","0,25","0,15","0,19","0,51","0,84","0,69","0,91","1,22","0,44","0,06","0,34","0,34","1,35","0,17","0,99","1,62","0,7","1,89","2,75","1,66","1,16","1,05","5,02","10,36","16,95","34,1","64,64","49,92","32,37","25,31","14,12","13,79","14,71","6,63","7,03","7,53","8,73","7,22","6,69","8,1","7,39","7,11","10,15","13,93","16,79","23,1","26,17","29,29","28,32","28,28","18,91"
łódzki wschodni,łódzkie,"0,0","0,0","0,0","0,79","0,0","0,14","-0,14","0,48","0,51","0,4","0,06","0,45","0,37","0,59","1,13","1,07","0,79","0,37","0,23","0,43","0,06","0,29","1,81","1,53","1,53","1,1","0,96","0,74","1,13","3,11","10,52","26,86","37,01","58,36","96,53","94,58","68,42","51,66","37,86","31,27","30,37","27,76","29,12","30,05","27,62","17,53","15,89","13,12","11,28","12,61","17,16","29,4","33,5","52,65","74,7","87,0","73,51","73,23","51,1"
łęczycki,łódzkie,"0,0","0,0","0,0","0,29","0,17","0,41","0,69","2,09","1,93","0,16","0,21","0,17","0,69","0,25","0,12","0,57","0,41","0,37","1,15","1,27","0,74","0,37","0,41","0,57","0,16","0,0","0,53","0,45","0,7","2,59","6,69","10,05","21,7","29,66","56,74","64,16","53,62","54,97","37,25","29,62","25,23","21,04","24,7","26,13","22,73","16,61","15,38","11,65","11,12","19,78","25,97","19,4","21,74","27,81","38,36","48,12","38,77","42,99","34,35"
łęczyński,lubelskie,"0,0","0,0","0,0","0,29","0,82","0,14","0,0","0,0","0,0","0,0","1,25","0,25","0,07","0,18","0,46","2,21","0,43","0,36","0,29","0,0","0,36","0,14","0,14","0,21","0,43","1,53","1,18","1,53","4,38","14,74","22,96","23,35","27,77","33,71","61,69","56,24","54,68","45,64","26,66","27,37","29,08","27,8","21,96","25,38","26,77","23,39","15,81","12,39","8,33","5,73","10,25","14,63","16,23","20,65","34,78","43,46","36,38","44,96","30,2"
Świnoujście,zachodniopomorskie,"0,0","0,0","0,0","0,0","0,9","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,05","2,89","0,25","0,0","0,15","0,85","0,55","0,75","0,35","0,3","0,2","0,0","0,8","2,05","5,79","14,32","45,47","47,22","43,27","43,32","58,7","36,98","37,08","38,58","41,23","47,27","46,53","40,33","30,54","31,3","24,56","17,12","21,81","31,15","30,3","22,91","29,25","37,18","50,26","37,28","29,6","22,08"
Świętochłowice,śląskie,"0,0","0,0","0,0","0,17","0,86","1,52","2,63","2,31","1,56","1,48","1,2","0,58","2,43","2,55","3,75","1,69","1,15","1,56","1,36","2,18","5,52","3,01","3,21","2,55","1,69","1,28","1,32","0,58","0,41","1,4","4,24","6,55","13,63","17,21","35,13","99,99","56,83","33,81","37,19","23,97","17,01","12,93","11,0","15,18","17,17","11,98","7,78","8,36","9,72","10,34","15,98","25,2","27,51","42,17","57,78","90,72","76,35","65,77","54,02"
średzki (dolnośląskie),dolnośląskie,"0,0","0,0","0,19","0,52","1,04","0,37","1,26","1,74","1,37","0,85","0,19","0,74","0,48","0,07","0,0","0,71","0,59","0,74","0,63","0,19","0,0","0,0","0,3","0,48","0,56","0,45","0,15","0,19","1,48","1,3","2,44","10,89","27,09","44,95","54,84","81,59","73,99","47,91","39,83","21,9","15,86","17,12","12,93","14,7","15,93","12,12","11,78","10,45","9,6","15,75","22,16","21,86","32,64","48,46","68,29","80,26","64,17","60,43","53,12"
średzki (wielkopolskie),wielkopolskie,"0,0","0,0","0,0","0,0","0,0","0,1","0,17","0,35","0,28","0,07","0,0","0,1","0,56","0,07","0,0","0,07","0,17","0,0","0,0","0,0","0,1","0,17","0,21","0,73","3,4","1,8","0,42","0,56","0,8","1,7","3,6","5,34","23,26","56,64","60,21","95,46","93,0","63,39","42,7","32,27","30,88","25,1","25,65","28,91","26,93","21,52","16,57","15,28","12,34","10,02","11,02","23,5","41,59","71,09","114,14","124,16","88,07","70,01","49,4"
śremski,wielkopolskie,"0,0","0,0","0,1","0,13","0,07","0,83","0,9","0,2","0,1","0,0","0,0","0,0","0,16","0,07","0,0","0,0","0,0","0,03","0,2","0,0","0,0","0,0","0,0","0,33","0,7","0,86","0,23","0,2","0,27","1,06","1,73","7,51","18,9","56,75","68,51","94,06","59,54","60,07","43,22","23,95","23,92","27,34","19,24","20,12","17,18","21,13","15,65","11,83","11,23","10,86","13,89","11,03","15,35","26,88","52,96","65,12","48,41","51,33","46,89"
świdnicki (dolnośląskie),dolnośląskie,"0,0","0,03","0,34","0,27","0,09","0,07","0,54","2,29","2,41","3,28","0,65","0,64","0,73","0,34","0,1","0,12","0,05","0,0","0,0","0,03","-0,03","0,0","0,0","0,09","0,26","0,5","0,35","0,57","1,23","1,05","3,65","5,88","10,76","17,76","28,92","40,59","44,54","36,44","27,0","23,89","18,95","14,99","11,63","11,15","11,48","10,73","10,52","8,06","6,15","10,4","18,82","26,19","35,01","48,55","62,09","80,95","66,87","60,89","47,59"
świdnicki (lubelskie),lubelskie,"0,0","0,0","0,29","0,31","0,0","0,06","0,14","0,0","0,0","0,2","0,31","0,2","0,23","0,31","1,25","0,91","0,17","0,0","0,0","0,0","0,0","0,0","0,06","0,34","0,0","0,0","0,34","0,26","0,88","4,09","8,83","17,02","25,99","44,72","66,9","69,23","77,1","76,7","63,21","40,79","41,62","49,63","32,36","23,03","23,78","18,67","21,9","20,11","15,68","16,11","27,73","26,45","29,6","34,74","50,08","62,13","41,84","44,06","31,94"
świdwiński,zachodniopomorskie,"0,0","0,0","0,44","0,48","0,0","0,53","1,18","0,35","0,26","0,66","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,44","0,44","0,26","0,13","0,57","2,4","1,53","2,31","11,01","27,69","36,82","51,98","45,07","35,81","30,75","31,4","28,74","34,29","37,96","43,67","41,14","24,76","18,13","12,75","9,22","11,58","11,31","15,51","20,57","21,97","21,1","26,51","23,37","21,97","18,53"
świebodziński,lubuskie,"0,0","0,19","0,58","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,48","0,55","0,0","0,0","0,0","0,0","0,0","3,15","6,29","4,43","2,56","0,8","1,46","0,33","0,37","0,07","0,44","0,58","0,11","0,19","1,9","7,28","16,06","31,57","46,27","79,78","79,34","68,77","37,06","29,23","34,53","43,09","27,58","25,73","24,44","14,82","11,81","13,79","10,68","13,24","24,11","31,53","32,23","51,1","62,08","90,02","66,06","52,42","39,43"
świecki,kujawsko-pomorskie,"0,0","0,0","0,0","0,5","0,62","0,35","1,2","1,09","-0,12","-0,02","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,16","0,41","0,37","0,06","0,0","0,58","1,23","0,64","0,02","0,62","1,82","2,6","8,21","18,21","35,89","63,54","66,64","53,23","62,74","55,81","50,53","44,57","35,29","34,54","36,48","38,2","27,08","23,59","23,26","18,83","21,55","20,48","26,42","33,6","42,71","43,5","42,36","35,1","40,79","30,66"
Żory,śląskie,"0,0","0,16","0,59","0,39","0,36","1,57","1,34","3,27","11,17","7,22","9,57","32,96","18,29","18,19","13,36","16,56","10,62","8,72","4,47","4,97","6,04","6,7","4,9","3,66","4,7","1,6","0,62","0,94","1,37","1,53","2,65","5,39","11,7","17,48","38,68","100,84","55,73","33,16","25,84","18,88","15,74","10,81","9,41","9,83","10,09","7,81","9,7","8,01","7,42","10,36","12,38","19,96","26,0","44,14","69,91","101,07","90,32","80,13","58,45"
żagański,lubuskie,"0,0","0,1","0,08","0,47","1,68","0,75","0,46","0,1","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,13","0,13","0,41","0,51","0,33","0,41","0,59","3,52","0,93","0,03","0,03","0,46","1,22","1,01","4,39","9,05","14,92","21,61","18,9","28,79","63,49","56,07","35,08","27,01","21,22","15,25","12,05","12,54","12,15","10,6","11,14","10,13","8,53","7,55","11,24","10,39","14,61","26,88","41,13","61,16","51,18","47,64","37,49"
żarski,lubuskie,"0,0","0,17","0,13","0,02","0,13","0,0","0,15","0,0","0,0","0,0","0,06","0,61","0,47","0,09","0,53","0,47","0,0","0,0","0,06","0,09","0,0","0,09","0,11","0,3","0,59","0,66","0,28","0,74","1,57","1,25","4,31","15,86","19,03","19,22","20,23","65,91","53,55","52,7","30,81","26,69","25,2","19,51","22,29","19,64","16,52","16,07","19,13","18,77","16,43","15,48","13,12","14,93","18,75","21,36","27,54","33,51","27,09","31,68","23,93"
żniński,kujawsko-pomorskie,"0,0","0,17","0,03","0,84","1,05","1,11","1,08","0,0","0,0","0,0","0,0","0,0","0,2","0,38","0,23","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03","0,44","0,49","0,26","0,17","4,33","26,49","8,55","14,19","17,1","25,76","44,46","44,49","38,84","33,67","49,43","44,8","46,93","43,0","38,09","35,85","36,66","33,15","31,93","27,07","24,31","28,46","24,19","24,83","36,4","50,16","70,51","77,95","56,81","59,28","49,78"
żuromiński,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,26","0,11","0,0","0,0","0,21","0,9","2,07","8,9","9,27","2,38","0,37","0,69","0,58","0,63","1,11","4,24","18,92","54,84","40,38","29,04","19,87","15,53","14,25","15,58","11,44","15,26","10,97","8,84","6,94","2,44","3,34","5,99","9,22","10,23","20,82","18,49","23,74","31,58","27,82","30,57","18,44","18,07","10,91"
żyrardowski,mazowieckie,"0,0","0,0","0,0","0,0","1,7","1,97","1,18","0,54","0,62","0,65","0,3","0,78","0,54","0,41","0,57","0,67","0,65","0,56","0,0","0,0","0,16","0,22","0,46","0,75","1,37","1,83","0,35","1,13","5,63","8,14","5,47","10,7","15,63","22,85","33,46","38,12","60,81","53,97","32,73","34,19","30,93","26,11","23,6","24,01","23,92","23,55","20,32","24,87","24,73","26,1","27,7","33,11","43,05","55,63","66,49","68,11","41,11","34,08","26,55"
żywiecki,śląskie,"0,0","0,0","0,0","0,04","0,16","2,68","6,69","5,25","6,09","2,58","1,98","1,48","1,24","1,22","1,06","0,94","1,6","1,26","1,66","2,42","2,58","2,65","3,01","2,47","3,01","1,5","0,23","0,51","1,45","2,44","7,76","23,98","34,38","53,85","88,42","95,08","55,95","33,48","20,88","19,1","10,17","8,87","11,97","13,94","12,13","10,83","11,26","13,11","19,18","30,61","48,27","62,5","79,89","96,3","97,49","85,97","54,67","39,33","24,31"
